stream_content,name,time_parameter,stream_type,binsize_minutes,id,description
Data (DCL),fuelcell_eng_dcl_recovered,7,Engineering,1440,632,Engineering Data (DCL)
Data (DCL),fuelcell_eng_dcl_telemetered,7,Engineering,1440,633,Engineering Data (DCL)
Data Products,osmoi_a_subcon_instrument_recovered,7,Science,1440,634,Science Data Products
Data Products,rasfl_a_subcon_instrument_recovered,7,Science,1440,635,Science Data Products
Data Products,ppsdn_a_subcon_instrument_recovered,7,Science,1440,636,Science Data Products
Upper Coil Data Products,flobn_c_upper_coil_recovered,7,Science,1440,637,Science Upper Coil Data Products
Lower Coil Data Products,flobn_c_lower_coil_recovered,7,Science,1440,638,Science Lower Coil Data Products
Position X1 Data,flobn_m_position_x1_recovered,7,Science,1440,639,Science Position X1 Data
Position X2 Data,flobn_m_position_x2_recovered,7,Science,1440,640,Science Position X2 Data
Position Y1 Data,flobn_m_position_y1_recovered,7,Science,1440,641,Science Position Y1 Data
Position Y2 Data,flobn_m_position_y2_recovered,7,Science,1440,642,Science Position Y2 Data
Position Z1 Data,flobn_m_position_z1_recovered,7,Science,1440,643,Science Position Z1 Data
Position Z2 Data,flobn_m_position_z2_recovered,7,Science,1440,644,Science Position Z2 Data
Position Z3 Data,flobn_m_position_z3_recovered,7,Science,1440,645,Science Position Z3 Data
Position Z4 Data,flobn_m_position_z4_recovered,7,Science,1440,646,Science Position Z4 Data
Position Z5 Data,flobn_m_position_z5_recovered,7,Science,1440,647,Science Position Z5 Data
X Flow Rate Data Products,flobn_m_direction_x_flow_rate_recovered,7,Science,1440,648,Science X Flow Rate Data Products
Y Flow Rate Data Products,flobn_m_direction_y_flow_rate_recovered,7,Science,1440,649,Science Y Flow Rate Data Products
Z Flow Rate Data Products,flobn_m_direction_z_flow_rate_recovered,7,Science,1440,650,Science Z Flow Rate Data Products
Ambient Temperature Data Products,flobn_m_ambient_temperature_recovered,7,Science,1440,651,Science Ambient Temperature Data Products
Data (DCL),hyd_o_dcl_instrument,7,Engineering,1440,652,Engineering Data (DCL)
Data (DCL),hyd_o_dcl_instrument_recovered,7,Engineering,1440,653,Engineering Data (DCL)
AUV ADCP Data Products,adcpa_n_auv_instrument,7,Science,1440,654,Science AUV ADCP Data Products
Metadata,flort_kn_auv_metadata,7,Engineering,1440,655,Engineering Metadata
Metadata,flort_kn_auv_metadata_recovered,7,Engineering,1440,656,Engineering Metadata
Data Products,flort_kn_auv_instrument,7,Science,1440,657,Science Data Products
Data Products,flort_kn_auv_instrument_recovered,7,Science,1440,658,Science Data Products
Data Products,dosta_ln_auv_instrument,7,Science,1440,659,Science Data Products
Data Products,dosta_ln_auv_instrument_recovered,7,Science,1440,660,Science Data Products
Data Products,ctdav_n_auv_instrument,7,Science,1440,661,Science Data Products
Data Products,ctdav_n_auv_instrument_recovered,7,Science,1440,662,Science Data Products
Data Products,parad_n_auv_instrument,7,Science,1440,663,Science Data Products
Data Products,parad_n_auv_instrument_recovered,7,Science,1440,664,Science Data Products
Data Products,fdchp_a_instrument_recovered,7,Science,1440,665,Science Data Products
Echosounder Data Products,auv_eng_auv_imagenex_852,7,Science,1440,666,Science Echosounder Data Products
Echosounder Data Products,auv_eng_auv_imagenex_852_recovered,7,Science,1440,667,Science Echosounder Data Products
,auv_eng_auv_digital_usbl,7,,1440,668,
,auv_eng_auv_digital_usbl_recovered,7,,1440,669,
,auv_eng_auv_tri_fin_motor,7,,1440,670,
,auv_eng_auv_tri_fin_motor_recovered,7,,1440,671,
,auv_eng_auv_emergency_board,7,,1440,672,
,auv_eng_auv_emergency_board_recovered,7,,1440,673,
,auv_eng_auv_oil_compensator,7,,1440,674,
,auv_eng_auv_oil_compensator_recovered,7,,1440,675,
,auv_eng_auv_smart_battery,7,,1440,676,
,auv_eng_auv_smart_battery_recovered,7,,1440,677,
,auv_eng_auv_digital_tx_board,7,,1440,678,
,auv_eng_auv_digital_tx_board_recovered,7,,1440,679,
,auv_eng_auv_fault_message,7,,1440,680,
,auv_eng_auv_fault_message_recovered,7,,1440,681,
,auv_eng_auv_state,7,,1440,682,
,auv_eng_auv_state_recovered,7,,1440,683,
Statistics Data Products (DCL),wavss_a_dcl_statistics,7,Science,20160,688,Science Statistics Data Products (DCL)
Statistics Data Products (DCL),wavss_a_dcl_statistics_recovered,7,Science,20160,689,Science Statistics Data Products (DCL)
,winch_cspp_eng,7,,1440,691,Engineering Winch Data
Data Products,nutnr_n_auv_instrument,7,Science,1440,692,Science Data Products
Data Products,nutnr_n_instrument_recovered,7,Science,1440,693,Science Data Products
Data Products,nutnr_m_instrument_recovered,7,Science,1440,694,Science Data Products
Data Products,nutnr_m_glider_instrument,7,Science,1440,695,Science Data Products
,zplsc_c_instrument,7,,20160,696,Science Data Products
Streaming Status,camhd_streaming_status,7,Engineering,1440,697,Engineering Streaming Status
Data,camhd_adread_status,7,Engineering,1440,698,Engineering Data
Hourly Averaged Data Products,metbk_hourly,3074,Science,1440,699,Science Hourly Averaged Data Products
Data Products (DCL),ctdbp_cdef_dcl_instrument,7,Science,1440,700,Science Data Products (DCL)
Data Products (DCL),ctdbp_cdef_dcl_instrument_recovered,7,Science,1440,701,Science Data Products (DCL)
Data Products (DCL),dosta_abcdjm_ctdbp_dcl_instrument,7,Science,1440,702,Science Data Products (DCL)
Data Products (DCL),dosta_abcdjm_ctdbp_dcl_instrument_recovered,7,Science,1440,703,Science Data Products (DCL)
Instrument Data Products,ctdbp_cdef_instrument_recovered,7,Science,1440,704,Science Instrument Data Products
Data Products,dosta_abcdjm_ctdbp_instrument_recovered,7,Science,1440,705,Science Data Products
Data Products,flord_d_data_record,7,Science,1440,706,Science Data Products
Status Data,flord_d_status,7,Engineering,1440,707,Engineering Status Data
Dark Sample Data,nutnr_a_dark_sample,7,Science,20160,708,Science Dark Sample Data
,deep_profiler_dock_eng_data,7,,1440,709,
,deep_profiler_vehicle_eng_data,7,,1440,710,
,secondary_node_lpjbox_eng_data,7,,1440,711,
,secondary_node_port_eng_data,7,,1440,712,
,secondary_node_eng_data,7,,1440,713,
,shallow_profiler_winch_eng_data,7,,1440,714,
,shore_station_power_feed_equipment_eng_data,7,,1440,715,
,primary_node_eng_data,7,,1440,716,
,primary_node_port_eng_data,7,,1440,717,
,primary_node_out_of_band_port_data,7,,1440,718,
,shore_station_otn_sea_side_port_data,7,,1440,719,
,shore_station_force_10_network_port_data,7,,1440,720,
,shore_station_time_server_eng_data,7,,1440,721,
,shore_station_ups_status,7,,1440,722,
,shore_station_ups_line_eng_data,7,,1440,723,
Data Products (DCL),ctdbp_p_dcl_instrument,7,Science,1440,724,Science Data Products (DCL)
Data Products (DCL),ctdbp_p_dcl_instrument_recovered,7,Science,1440,725,Science Data Products (DCL)
Data Products (DCL),dosta_abcdjm_ctdbp_p_dcl_instrument,7,Science,1440,726,Science Data Products (DCL)
Data Products (DCL),dosta_abcdjm_ctdbp_p_dcl_instrument_recovered,7,Science,1440,727,Science Data Products (DCL)
Data Products (DCL),flord_g_ctdbp_p_dcl_instrument,7,Science,1440,728,Science Data Products (DCL)
Data Products (DCL),flord_g_ctdbp_p_dcl_instrument_recovered,7,Science,1440,729,Science Data Products (DCL)
Dark Sample Data,nutnr_b_dark_instrument_recovered,7,Engineering,1440,730,Engineering Dark Sample Data
Concentration ASCII Dark Sample Data (DCL),nutnr_b_dcl_dark_conc_instrument,7,Science,1440,731,Science Concentration ASCII Dark Sample Data (DCL)
Concentration ASCII Dark Sample Data (DCL),nutnr_b_dcl_dark_conc_instrument_recovered,7,Science,1440,732,Science Concentration ASCII Dark Sample Data (DCL)
Full ASCII Dark Sample Data (DCL),nutnr_b_dcl_dark_full_instrument,7,Science,1440,733,Science Full ASCII Dark Sample Data (DCL)
Full ASCII Dark Sample Data (DCL),nutnr_b_dcl_dark_full_instrument_recovered,7,Science,1440,734,Science Full ASCII Dark Sample Data (DCL)
,shore_station_otn_shore_side_port_data,7,,1440,735,
Antelope Metadata,antelope_metadata,7,Engineering,1440,736,Engineering Antelope Metadata
Dark Sample Data,nutnr_j_cspp_dark_instrument,7,Science,1440,737,Science Dark Sample Data
Dark Sample Data,nutnr_j_cspp_dark_instrument_recovered,7,Science,1440,738,Science Dark Sample Data
Dark Sample Data,nutnr_n_dark_instrument_recovered,7,Science,1440,739,Science Dark Sample Data
Dark Sample Data,nutnr_m_dark_instrument_recovered,7,Science,1440,740,Science Dark Sample Data
,botpt_nano_sample_15s,3655,,1440,741,
,botpt_nano_sample_24hr,3660,,1440,742,
Beam Coordinate Data,adcp_velocity_beam,7,Science,720,743,Science Beam Coordinate Data
Earth Coordinates Data,adcp_velocity_earth,7,Science,720,744,Science Earth Coordinates Data
Instrument Data Products,adcp_velocity_inst,7,Science,720,745,Science Instrument Data Products
Glider Velocity Data,adcp_velocity_glider,7,Science,720,746,Science Glider Velocity Data
Data,adcp_engineering,7,Engineering,1440,747,Engineering Data
Configuration Data,adcp_config,7,Engineering,20160,748,Engineering Configuration Data
Bottom Track Data in Earth Coordinates,adcp_bottom_track_earth,7,Science,1440,749,Science Bottom Track Data in Earth Coordinates
Bottom Track Data Products,adcp_bottom_track_inst,7,Science,1440,750,Science Bottom Track Data Products
Bottom Track Configuration Data,adcp_bottom_track_config,7,Engineering,20160,751,Engineering Bottom Track Configuration Data
Velocity Data Products,vadcp_velocity_beam,7,Science,720,752,Science Velocity Data Products
Beam 5 Data Products,vadcp_velocity_beam_5,7,Science,720,753,Science Beam 5 Data Products
Data - 5 Beam,adcp_engineering_5,7,Engineering,20160,754,Engineering Data - 5 Beam
Configuration Data - 5 Beam,adcp_config_5,7,Engineering,20160,755,Engineering Configuration Data - 5 Beam
Compass Data - 5 Beam,adcp_compass_calibration_5,7,Calibration,20160,756,Calibration Compass Data - 5 Beam
System Configuration Data - 5 Beam,adcp_system_configuration_5,7,Engineering,20160,757,Engineering System Configuration Data - 5 Beam
Ancillary System Data - 5 Beam,adcp_ancillary_system_data_5,7,Engineering,20160,758,Engineering Ancillary System Data - 5 Beam
Transmit Path Data - 5 Beam,adcp_transmit_path_5,7,Engineering,20160,759,Engineering Transmit Path Data - 5 Beam
Metadata,camhd_metadata,7,Engineering,1440,760,Engineering Metadata
GPS Position Data,glider_gps_position,7,Engineering,1440,761,Engineering GPS Position Data
Winch Motor Metadata,cspp_eng_dcl_modem,7,Engineering,1440,762,
Winch Motor Metadata,cspp_eng_dcl_eng_data,7,Engineering,1440,763,
Winch Motor Metadata,cspp_eng_dcl_summary,7,Engineering,1440,764,
Winch Motor Metadata,cspp_eng_dcl_profile,7,Engineering,1440,765,
Wave Burst Data Products (DCL),presf_abc_tide_measurement_recovered,7,Science,1440,766,
Wave Burst Data Products (DCL),presf_abc_wave_burst_recovered,7,Science,1440,767,
,camds_video,,,,9901,Science Video Data Products
,iris,,,,9902,
,ppsdn_status,,,,9903,
,rasfl_status,,,,9904,
